Date,Open,High,Low,Close,Adj Close,Volume
2022-08-13,0.999798,1.000327,0.998633,0.99961,0.99961,390781938
2022-08-12,0.999523,1.000422,0.998439,0.999746,0.999746,658030751
2022-08-11,1.000305,1.000639,0.998443,0.999554,0.999554,871537555
2022-08-10,1.000357,1.00161,0.998823,1.000272,1.000272,692875982
2022-08-09,0.999791,1.001056,0.998511,1.000371,1.000371,1189051176
2022-08-08,0.999054,1.000755,0.998963,0.999726,0.999726,2949207693
2022-08-07,0.999519,1.000415,0.998845,0.999115,0.999115,367218176
2022-08-06,1.000467,1.000467,0.999025,0.999405,0.999405,565543035
2022-08-05,1.000096,1.0009,0.999014,1.000418,1.000418,606833837
2022-08-04,0.999618,1.000698,0.998539,1.000171,1.000171,668659241
2022-08-03,0.999493,1.000676,0.998805,0.999664,0.999664,434720819
2022-08-02,1.00008,1.00095,0.998317,0.999674,0.999674,859044159
2022-08-01,0.999178,1.000536,0.998845,1.000067,1.000067,911812753
2022-07-31,0.999393,1.00045,0.99877,0.999101,0.999101,1194796256
2022-07-30,0.999155,1.000617,0.998604,0.999369,0.999369,432587887
2022-07-29,0.999057,1.0008,0.99841,0.99912,0.99912,714579988
2022-07-28,1.000058,1.001013,0.998785,0.999021,0.999021,837627434
2022-07-27,1.000554,1.001619,0.998983,0.999962,0.999962,1297278197
2022-07-26,0.999348,1.000613,0.998674,1.00057,1.00057,1163955322
2022-07-25,0.999794,1.000488,0.998899,0.999345,0.999345,641836216
2022-07-24,1.000117,1.001025,0.999222,0.999787,0.999787,310366101
2022-07-23,0.999904,1.000556,0.999006,1.000155,1.000155,229236895
2022-07-22,1.000002,1.000681,0.998785,0.999949,0.999949,362678509
2022-07-21,0.999185,1.000983,0.99841,0.999996,0.999996,286728850
2022-07-20,1.000031,1.000989,0.998252,0.999148,0.999148,330520651
2022-07-19,1.000382,1.000647,0.998678,1.000123,1.000123,347056310
2022-07-18,0.999372,1.00112,0.998726,1.000577,1.000577,362780858
2022-07-17,1.000033,1.000821,0.998979,0.999343,0.999343,178979231
2022-07-16,0.999894,1.001117,0.998898,0.99996,0.99996,241898537
2022-07-15,0.999726,1.000797,0.999121,0.999974,0.999974,266025714
2022-07-14,1.001043,1.001328,0.999176,0.99979,0.99979,227537576
2022-07-13,0.999181,1.001052,0.999124,1.000994,1.000994,231685293
2022-07-12,0.999402,1.000686,0.999008,0.999197,0.999197,250250419
2022-07-11,0.999468,1.000643,0.998772,0.99948,0.99948,174198910
2022-07-10,0.999737,1.000964,0.998793,0.999509,0.999509,192248392
2022-07-09,0.999616,1.001091,0.999182,0.999736,0.999736,100593392
2022-07-08,1.000416,1.001146,0.999042,0.999591,0.999591,235344156
2022-07-07,1.000578,1.001324,0.999689,1.00043,1.00043,219577906
2022-07-06,0.999916,1.001165,0.999354,1.000698,1.000698,204566870
2022-07-05,1.000712,1.00121,0.999056,0.999877,0.999877,266938937
2022-07-04,1.000181,1.001609,0.999342,1.000788,1.000788,210429655
2022-07-03,1.000149,1.001272,0.999352,1.000218,1.000218,154409747
2022-07-02,0.999898,1.00131,0.999137,1.000124,1.000124,192011906
2022-07-01,1.000229,1.001683,0.999037,0.99997,0.99997,345750428
2022-06-30,1.000359,1.00121,0.998971,1.000163,1.000163,314172508
2022-06-29,0.999874,1.001121,0.999463,1.000348,1.000348,295193646
2022-06-28,0.999234,1.001284,0.998896,0.999891,0.999891,349731783
2022-06-27,0.999661,1.001148,0.998986,0.999235,0.999235,257159960
2022-06-26,1.000811,1.001475,0.999151,0.999604,0.999604,212797554
2022-06-25,1.000459,1.001343,0.99925,1.000897,1.000897,244258444
2022-06-24,1.000491,1.00126,0.999037,1.000387,1.000387,376057529
2022-06-23,0.99909,1.001429,0.99907,1.000558,1.000558,353813415
2022-06-22,0.999889,1.001621,0.998294,0.999111,0.999111,303126637
2022-06-21,1.000745,1.001636,0.999045,0.999842,0.999842,348678972
2022-06-20,0.999995,1.001737,0.998707,1.000699,1.000699,383413556
2022-06-19,1.001163,1.001694,0.999067,1.000065,1.000065,530554452
2022-06-18,1.000337,1.001911,0.998447,1.001194,1.001194,707533310
2022-06-17,1.000127,1.00165,0.99944,1.000394,1.000394,395540828
2022-06-16,1.001003,1.001896,0.998755,1.00012,1.00012,432575571
2022-06-15,1.000364,1.002766,0.998752,1.000978,1.000978,802331869
2022-06-14,1.000775,1.001941,0.998948,1.000402,1.000402,795126976
2022-06-13,0.999949,1.001577,0.998638,1.000766,1.000766,1140857352
2022-06-12,0.999667,1.001649,0.998665,0.999897,0.999897,323237156
2022-06-11,0.999432,1.000988,0.998486,0.999764,0.999764,358366641
2022-06-10,0.999971,1.000887,0.998992,0.999379,0.999379,284257004
2022-06-09,0.99997,1.000944,0.999222,1.0002,1.0002,152817553
2022-06-08,0.999934,1.000842,0.999064,1.00004,1.00004,235966321
2022-06-07,0.999854,1.00101,0.998591,0.999936,0.999936,410824357
2022-06-06,1.000103,1.001251,0.999404,0.999873,0.999873,205129363
2022-06-05,1.00036,1.001182,0.99953,1.000063,1.000063,212058328
2022-06-04,0.999978,1.001069,0.999171,1.000344,1.000344,215464675
2022-06-03,1.000045,1.001003,0.999057,0.999866,0.999866,223756034
2022-06-02,1.000287,1.000876,0.999334,1.000056,1.000056,228326162
2022-06-01,1.000276,1.001358,0.998122,1.000381,1.000381,244829435
2022-05-31,1.000264,1.000984,0.999074,1.000303,1.000303,219285219
2022-05-30,1.00072,1.001677,0.999533,1.000299,1.000299,302207850
2022-05-29,1.000573,1.001589,0.999308,1.000716,1.000716,109935313
2022-05-28,1.000682,1.001576,0.999212,1.000566,1.000566,166333209
2022-05-27,0.999655,1.001946,0.99896,0.999491,0.999491,488196485
2022-05-26,0.999718,1.002036,0.99897,0.999687,0.999687,547527265
2022-05-25,1.000798,1.001374,0.999113,0.999617,0.999617,296301154
2022-05-24,0.999698,1.001649,0.998098,1.000771,1.000771,337378874
2022-05-23,1.000951,1.002171,0.999099,0.999797,0.999797,319550893
2022-05-22,1.000725,1.001875,0.999623,1.001013,1.001013,235185157
2022-05-21,0.99997,1.001454,0.999516,1.000745,1.000745,352284549
2022-05-20,1.001198,1.001849,0.999435,0.999959,0.999959,700516373
2022-05-19,0.999111,1.001878,0.99893,1.001178,1.001178,371528681
2022-05-18,1.000653,1.001462,0.998845,0.999041,0.999041,356783138
2022-05-17,0.999844,1.001796,0.99884,1.000615,1.000615,364028605
2022-05-16,1.000874,1.001291,0.998534,0.999707,0.999707,375983904
2022-05-15,1.00143,1.002287,0.999344,1.000813,1.000813,576951806
2022-05-14,0.999638,1.001938,0.99807,1.001532,1.001532,618809656
2022-05-13,1.001067,1.00296,0.998753,0.999711,0.999711,747662744
2022-05-12,1.001294,1.013774,0.995682,1.001055,1.001055,2353300214
2022-05-11,0.999932,1.001654,0.994193,1.001274,1.001274,1562848826
2022-05-10,0.998775,1.00139,0.99813,0.99992,0.99992,610204472
2022-05-09,0.999455,1.000743,0.996538,0.998339,0.998339,812403265
2022-05-08,0.999491,1.000602,0.998672,0.999565,0.999565,427840952
2022-05-07,1.00004,1.000499,0.998973,0.999531,0.999531,282790681
2022-05-06,0.999708,1.000451,0.998584,1.000062,1.000062,372626341
2022-05-05,1.000197,1.000649,0.998563,0.999752,0.999752,372013255
2022-05-04,1.000006,1.00124,0.998992,1.000207,1.000207,302316703
2022-05-03,0.999369,1.000538,0.998675,0.999963,0.999963,252428683
2022-05-02,1.000382,1.000721,0.99889,0.999271,0.999271,307365549
2022-05-01,0.999509,1.00125,0.998979,1.000405,1.000405,225580134
2022-04-30,0.999787,1.001207,0.998462,0.999616,0.999616,310963701
2022-04-29,0.999719,1.00028,0.998293,0.999829,0.999829,272088804
2022-04-28,0.999843,1.000579,0.998619,0.999669,0.999669,236966964
2022-04-27,0.999939,1.000496,0.998912,0.999791,0.999791,262354517
2022-04-26,0.999816,1.0006,0.998281,0.999971,0.999971,308326652
2022-04-25,0.999358,1.000721,0.998344,0.999883,0.999883,346319768
2022-04-24,0.998892,1.000027,0.998493,0.999387,0.999387,228465431
2022-04-23,0.999771,1.000174,0.998831,0.998903,0.998903,226268510
2022-04-22,0.999573,1.000381,0.998541,0.999769,0.999769,340845027
2022-04-21,0.999652,1.000497,0.998855,0.999611,0.999611,383068478
2022-04-20,0.999905,1.000345,0.998928,0.999646,0.999646,357570874
2022-04-19,0.999885,1.000603,0.999111,0.999912,0.999912,237194901
2022-04-18,0.999793,1.000624,0.999004,0.999881,0.999881,333304593
2022-04-17,0.9997,1.000176,0.999092,0.99974,0.99974,247459851
2022-04-16,0.999916,1.000299,0.99912,0.9997,0.9997,146727390
2022-04-15,1.000064,1.000235,0.998993,1.000002,1.000002,214728011
2022-04-14,1.000138,1.000545,0.999112,1.000093,1.000093,331738722
2022-04-13,1.000262,1.000887,0.998982,1.00017,1.00017,361594416
